,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
255,,세르주루텐,다튜라느와오드퍼퓸,"깊은 상처까지 감싸 안아줄 것 같은, 헬리오트로프와 튜베로즈의 안락한 편안함",/product/세르주루텐-다튜라느와-오-드-퍼퓸/2179/category/568/display/1/,세르주루텐 다튜라느와오드퍼퓸,205000,50,"상처,헬리오트로프,튜베로즈,편안함","헬리오트로프,튜베로즈",다튜라느와,세르주루텐 다튜라느와,프레데릭말 카날플라워,,조르지오 아르마니마이웨이,,구찌 블룸
256,,스테파니브루진,파리생제르망오드퍼퓸,안개에 젖은 레몬 홍차 티백이 천천히 우러날 때 - 중성적인 달콤함을 자아내는 향기,/product/스테파니-브루진-파리생제르망-오-드-퍼퓸-100ml/2173/category/568/display/1/,스테파니브루진 파리생제르망오드퍼퓸,250000,100,"안개,레몬,홍차,티백,중성","안개,레몬,홍차",파리생제르망,스테파니브루진 파리생제르망,로이비 로터스앤인센스,,크리드 로얄워터,르라보 로즈,메종마르지엘라 언더더레몬트리
257,,스테파니브루진,델리스오드퍼퓸,"파리의 돌담길, 시나몬과 바닐라빈의 따스함이 천천히 자리를 데우는 향기",/product/스테파니-브루진-델리스-오-드-퍼퓸-100ml/2171/category/568/display/1/,스테파니브루진 델리스오드퍼퓸,250000,100,"파리,돌담,시나몬,바닐라","시나몬,바닐라",델리스,스테파니브루진 델리스,오디딸리 몬투더스크,,,바이레도 집시워터,나르시소로드리게즈 엉브레
258,,스테파니브루진,캐시미어오드퍼퓸,"화양연화 속 낡은 다락방, 우디 머스크의 붉은 톤이 따스하게 머무는 자리의 향기",/product/스테파니-브루진-캐시미어-오-드-퍼퓸-100ml/2170/category/568/display/1/,스테파니브루진 캐시미어오드퍼퓸,250000,100,"화양연화,다락방,우드,머스크","우드,머스크",캐시미어,스테파니브루진 캐시미어,반클리프엔아펠 오우드블랑,바이레도 집시워터,나르시소로드리게즈 포허,,프레데릭말 뮤스크라바줴
259,,스테파니브루진,큐피동오드퍼퓸,블랙커런트 이슬이 흩어지며 장미에 젖어드는 투명한 아름다움,/product/스테파니-브루진-큐피동-오-드-퍼퓸-100ml/2162/category/568/display/1/,스테파니브루진 큐피동오드퍼퓸,250000,100,"블랙커런트,이슬,로즈","블랙커런트,이슬,로즈",큐피동,스테파니브루진 큐피동,딥디크 오로즈,프라고나르 로즈드메이,,,
260,,누NOU,벨벳블라썸오드퍼퓸,"스모키한 벨벳 질감의 따스한 클로브 향기, 중성적인 데일리 캐주얼",/product/누nou-벨벳-블라썸-오-드-퍼퓸-50ml/2158/category/568/display/1/,누NOU 벨벳블라썸오드퍼퓸,50000,50,"스모키,벨벳,클로브,중성,데일리,캐주얼","스모키,벨벳,클로브",벨벳블라썸,누NOU 벨벳블라썸,조말론 벨벳로즈앤오드코롱인텐스,구딸파리 쁘띠쉐리,아닉구딸 쁘띠쉐리,,
261,,누NOU,에이버리오드뚜왈렛,센스있는 남자의 부드러운 우디-시트러스풍 깔끔함,/product/누nou-에이버리-오-드-뚜왈렛-50ml/2154/category/568/display/1/,누NOU 에이버리오드뚜왈렛,50000,50,"센스,남성,우드,시트러스","우드,시트러스",에이버리,누NOU 에이버리,누NOU 우디,버버리 런던포맨,존바바토스 아티산퓨어,,퍼퓸드말리 페가수스
262,,누NOU,올리반오드뚜왈렛,솔나무와 송진이 배인 옷깃에 순수한 마음까지 갖춘 올곧은 감수성의 남자향기,/product/누nou-올리반-오-드-뚜왈렛-50ml/2152/category/568/display/1/,누NOU 올리반오드뚜왈렛,50000,50,"나무,송진,옷깃,감수성,남성","나무,송진",올리반,누NOU 올리반,런던프로소디 우드옥타브,,,,크리드 어벤투스
263,,누NOU,우디오드뚜왈렛,센스있는 남자의 부드러운 우디-시트러스풍 깔끔함,/product/누nou-우디-오-드-뚜왈렛-50ml/2146/category/568/display/1/,누NOU 우디오드뚜왈렛,50000,50,"센스,남성,우드,시트러스","우드,시트러스",우디,누NOU 우디,누NOU 에이버리,버버리 런던포맨,존바바토스 아티산퓨어,,퍼퓸드말리 페가수스
264,,누NOU,플로럴미스트오드퍼퓸,"프리지아, 만다린, 로즈가 이슬 안개처럼 공중으로 흩어지는 경쾌한 향기",/product/누nou-플로럴-미스트-오-드-퍼퓸-50ml/2134/category/568/display/1/,누NOU 플로럴미스트오드퍼퓸,50000,50,"프리지아,만다린,로즈,이슬,안개,공중","프리지아,만다린,로즈,이슬,안개",플로럴미스트,누NOU 플로럴미스트,스테파니브루진 큐피동,딥디크 오로즈,프라고나르 로즈드메이,,
265,,누NOU,로즈파출리오드퍼퓸,로즈와 파출리의 스파클링한 사랑스러움이 한 장면으로 추억되는 향기,/product/누nou-로즈-파출리-오-드-퍼퓸-50ml/2133/category/568/display/1/,누NOU 로즈파출리오드퍼퓸,50000,50,"로즈,파출리,스파클링,추억","로즈,파출리,스파클링",로즈파출리,누NOU 로즈파출리,프라고나르 로즈드메이,딥디크 오로즈,더디퍼런트컴퍼니 카샨로즈,,끌로에 로즈드끌로에
